N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
859,미래에셋증권우,"6,750","5,000",950,"14,076",0.45,"114,963",6.61,N/A
860,비비안,"3,430",500,943,"27,500",1.00,"152,551",-1.13,-54.00
861,영보화학,"4,700",500,940,"20,000",53.25,"278,778",33.10,1.94
862,TIGER 원유선물Enhanced(H),"2,920",0,915,"31,350",0.56,"188,189",N/A,N/A
863,TRUE 인버스 2X 천연가스 선물 ETN(H),"18,230",0,912,"5,000",0.00,"3,843",N/A,N/A
864,우신시스템,"4,965",500,909,"18,314",0.92,"23,700",-7.39,-11.20
865,화인베스틸,"3,075",500,909,"29,550",1.72,"3,511,020",-5.86,-18.43
866,DL우,"53,700","5,000",905,"1,686",7.47,"8,968",4.10,N/A
867,KODEX 국고채3년,"58,035",0,905,"1,560",0.01,735,N/A,N/A
868,혜인,"7,020",500,892,"12,713",2.60,"211,899",17.00,4.97
869,유성기업,"3,420",500,887,"25,948",15.92,"68,181",-18.79,-1.75
870,TIGER 차이나바이오테크SOLACTIVE,"12,600",0,887,"7,040",2.10,"34,737",N/A,N/A
871,케이탑리츠,"1,910","1,000",883,"46,224",12.02,"474,655",7.93,15.17
872,콤텍시스템,"1,300",500,882,"67,851",1.61,"850,829",-650.00,N/A
873,삼성 레버리지 천연가스 선물 ETN B,"8,770",0,877,"10,000",0.00,"1,873",N/A,N/A
874,대동전자,"8,360",500,877,"10,490",41.48,"66,231",43.77,3.27
875,삼화왕관,"40,600","5,000",875,"2,154",7.85,"3,436",58.50,1.03
876,DSR제강,"6,060",500,873,"14,400",4.71,"659,706",16.51,3.67
877,다스코,"5,300",500,864,"16,300",2.48,"44,864",-10.33,-6.54
878,참엔지니어링,"1,555",500,863,"55,529",4.26,"127,601",17.87,7.18
879,한익스프레스,"7,190",500,863,"12,000",1.57,"8,169,321",-43.05,-2.87
880,쎌마테라퓨틱스,"6,410",500,862,"13,452",0.63,0,-3.48,"-1,165.40"
881,한국종합기술,"7,850",500,860,"10,950",1.60,"51,766",13.28,5.12
882,하이스틸,"4,255",500,851,"19,999",0.16,"19,926,366",-67.54,-0.99
883,제일연마,"8,470",500,847,"10,000",4.87,"189,547",25.98,3.84
884,페이퍼코리아,"2,240",500,846,"37,762",0.75,"74,141",320.00,1.18
885,NH프라임리츠,"4,510",500,842,"18,660",0.16,"71,197",19.44,2.95
886,화천기공,"38,250","5,000",842,"2,200",8.24,"11,970",18.63,1.52
887,삼정펄프,"33,650","5,000",841,"2,500",4.05,"2,396",3.13,13.58
888,코오롱인더우,"30,100","5,000",833,"2,768",12.60,"29,613",4.40,N/A
889,대신 2X 니켈선물 ETN(H),"16,530",0,826,"5,000",0.00,"5,013",N/A,N/A
890,SUN&L,"6,550","1,000",826,"12,608",1.37,"27,076",-8.97,-4.33
891,인디에프,"1,375",500,810,"58,933",0.86,"78,122",-3.74,-41.73
892,세원정공,"8,090",500,809,"10,000",14.92,0,4.90,1.85
893,TIGER 인버스,"4,285",0,806,"18,800",0.61,"106,757",N/A,N/A
894,TIGER 코스닥150 레버리지,"13,705",0,802,"5,850",4.15,"310,234",N/A,N/A
895,녹십자홀딩스2우,"94,100",500,796,846,0.21,"2,491",27.27,N/A
896,금비,"79,100","5,000",791,"1,000",1.19,"64,926",-88.78,-3.40
897,한일철강,"2,940",500,776,"26,397",1.03,"356,332",-13.93,-3.30
898,한창,"1,160",500,775,"66,790",1.23,"310,019",-3.54,-53.91
899,TIGER 소프트웨어,"16,590",0,773,"4,660",0.01,"36,119",N/A,N/A
900,KBSTAR 미국나스닥100,"11,490",0,770,"6,700",0.00,"50,678",N/A,N/A
901,TIGER KRX바이오K-뉴딜,"9,405",0,752,"8,000",0.02,"188,236",N/A,N/A
902,메타랩스,"1,150",500,738,"64,148",0.00,"252,484",-3.66,-33.92
903,제이준코스메틱,"1,995",500,736,"36,909",1.87,"226,707",-3.13,-37.83
904,KODEX 건설,"3,480",0,731,"21,000",0.18,"348,670",N/A,N/A
905,동양피스톤,"5,520",500,727,"13,168",0.79,"16,065",-10.00,-7.29
906,한신기계,"2,240",500,727,"32,446",5.65,"236,278",20.93,4.24
907,MH에탄올,"9,850",500,727,"7,379",3.18,"57,121",10.65,11.49
908,진양산업,"5,590",500,727,"13,000",3.57,"169,885",14.15,12.16
909,KODEX 심천ChiNext(합성),"13,045",0,717,"5,500",1.98,"18,444",N/A,N/A
910,KBSTAR 중국본토대형주CSI100,"21,740",0,717,"3,300",0.00,587,N/A,N/A
911,미래아이앤지,551,100,713,"129,484",2.68,"1,135,005",3.62,24.75
912,조일알미늄,786,500,710,"90,346",2.59,"869,396",-6.29,-7.85
913,KB Wise 분할매매 ETN,"11,825",0,710,"6,000",0.00,1,N/A,N/A
914,세우글로벌,"2,470",500,709,"28,705",1.63,0,247.00,0.66
915,ARIRANG 신흥국MSCI(합성 H),"12,750",0,709,"5,560",0.00,"16,947",N/A,N/A
916,대호에이엘,"2,540",500,709,"27,906",3.90,"312,906",105.83,2.43
917,SJM홀딩스,"4,740",500,708,"14,934",5.83,"4,262,547",23.58,2.02
918,유한양행우,"59,900","1,000",707,"1,181",0.37,"2,875",22.11,N/A
919,미래에셋 전기전자 Core5 ETN,"35,285",0,706,"2,000",0.00,12,N/A,N/A
920,동양고속,"24,050","5,000",696,"2,896",1.90,"1,217",-4.25,-13.74
921,우진아이엔에스,"9,080",500,692,"7,622",1.41,"31,669",39.31,1.69
922,미래에셋 레버리지 S&P500 ETN(H),"34,505",0,690,"2,000",0.00,14,N/A,N/A
923,선도전기,"3,820",500,688,"18,000",0.53,"762,007",27.48,2.80
924,호텔신라우,"91,000","5,000",684,752,1.24,"63,492",-12.84,N/A
925,신한 레버리지 다우존스지수 선물 ETN(H),"33,880",0,678,"2,000",0.00,363,N/A,N/A
926,SMART KIS단기통안채,"100,305",0,677,675,0.00,0,N/A,N/A
927,TIGER 200TR,"22,375",0,671,"3,000",0.00,242,N/A,N/A
928,TIGER 국채3년,"110,940",0,666,600,0.00,148,N/A,N/A
929,전방,"39,600","5,000",665,"1,680",0.91,"1,914",11.27,4.35
930,WISCOM,"4,330",500,664,"15,326",3.23,"137,721",-66.62,-0.85
931,HANARO 200선물인버스,"8,905",0,663,"7,450",0.01,"8,360",N/A,N/A
932,TIGER 코스피,"31,580",0,663,"2,100",0.01,517,N/A,N/A
933,KODEX 미국달러선물,"9,945",0,660,"6,640",0.00,"51,507",N/A,N/A
934,평화산업,"1,195",500,656,"54,902",2.05,"176,123",-8.42,-26.40
935,TIGER 차이나HSCEI,"12,580",0,654,"5,200",0.00,318,N/A,N/A
936,부국증권우,"21,800","5,000",654,"3,000",12.11,263,4.81,N/A
937,KODEX KRX300,"19,190",0,652,"3,400",0.00,502,N/A,N/A
938,대교우B,"3,335",500,648,"19,427",5.00,"253,332",-19.73,N/A
939,TIGER 중장기국채,"52,155",0,647,"1,240",0.00,668,N/A,N/A
940,두산2우B,"71,200","5,000",636,893,0.14,"8,456",-2.76,N/A
941,덕성우,"45,650",500,635,"1,392",0.22,"216,710",215.33,N/A
942,GS우,"35,450","5,000",633,"1,785",11.26,"4,052",-13.83,N/A
943,롯데칠성우,"81,300",500,630,775,7.99,"3,211",-58.20,N/A
944,삼성 레버리지 은 선물 ETN(H),"20,850",0,626,"3,000",0.00,"30,223",N/A,N/A
945,진도,"5,010",500,624,"12,448",2.45,"121,063",-34.55,-1.84
946,KBSTAR 금융채액티브,"103,485",0,611,590,0.00,"2,189",N/A,N/A
947,KODEX 200IT TR,"14,525",0,610,"4,200",0.00,"2,261",N/A,N/A
948,대림통상,"4,000","1,000",609,"15,225",1.47,"8,971",-4.80,-15.15
949,TIGER 유로스탁스50(합성 H),"13,510",0,608,"4,500",0.00,"49,827",N/A,N/A
950,롯데지주우,"61,100",200,603,988,0.35,631,-32.60,N/A
951,평화홀딩스,"4,125",500,603,"14,625",15.01,"33,289",-19.46,-2.68
952,신송홀딩스,"5,090",500,602,"11,829",1.41,"12,405",22.03,3.04
953,한화솔루션우,"53,500","5,000",601,"1,124",2.89,"6,193",29.03,N/A
954,주연테크,"1,095",200,598,"54,612",2.68,"334,047",-26.71,-5.86
955,유안타증권우,"4,600","5,000",594,"12,912",0.57,"86,067",9.31,N/A
956,KODEX 증권,"8,405",0,593,"7,050",0.25,"250,274",N/A,N/A
957,삼성 레버리지 China A50 선물 ETN(H),"59,090",0,591,"1,000",0.00,3,N/A,N/A
958,TRUE 나스닥 100 ETN,"11,800",0,590,"5,000",0.00,0,N/A,N/A
959,TIGER MSCI KOREA ESG리더스,"11,980",0,589,"4,920",0.00,253,N/A,N/A
960,TRUE S&P500 선물 ETN,"11,775",0,589,"5,000",0.00,12,N/A,N/A
961,KINDEX 미국WideMoat가치주,"16,345",0,588,"3,600",0.01,"17,998",N/A,N/A
962,KODEX 미디어&엔터테인먼트,"21,685",0,585,"2,700",0.00,"7,654",N/A,N/A
963,TIGER 미국달러단기채권액티브,"9,600",0,583,"6,070",0.00,"29,205",N/A,N/A
964,컨버즈,"4,100",500,576,"14,061",0.20,0,-3.10,-367.38
965,화천기계,"2,605",500,573,"22,000",3.06,"141,805",-12.58,-3.72
966,TRUE 인버스 2X 나스닥 100 ETN,"1,910",0,573,"30,000",0.00,"140,714",N/A,N/A
967,케이비아이동국실업,857,500,573,"66,862",1.78,"87,047",-4.84,-6.83
968,한국전자홀딩스,"1,210",500,566,"46,803",2.72,"425,196",-10.08,-5.36
969,미래산업,"15,000",500,560,"3,733",60.84,"27,669",-7.55,-10.31
970,TIGER 미국다우존스30,"19,265",0,559,"2,900",0.01,"8,220",N/A,N/A
971,티에이치엔,"3,100",500,558,"18,000",1.32,"40,077",-3.44,-24.87
972,우진플라임,"5,570",500,557,"10,000",1.30,"31,580",14.36,13.70
973,유엔젤,"4,210",500,556,"13,195",3.69,"60,623",-91.52,-1.67
974,원림,"24,100","5,000",554,"2,298",1.54,"4,269",3.46,16.31
975,폴루스바이오팜,"1,225",500,551,"45,008",1.76,0,-11.34,-7.07
976,삼성 코스피 풋매도 ETN,"11,015",0,551,"5,000",0.00,1,N/A,N/A
977,태양금속,"1,500",500,550,"36,700",2.42,"93,675",-6.33,-11.40
978,TIGER 여행레저,"4,620",0,550,"11,910",0.06,"214,951",N/A,N/A
979,KBSTAR 미국S&P원유생산기업(합성 H),"3,730",0,550,"14,750",4.15,"136,081",N/A,N/A
980,SK디스커버리우,"40,500","5,000",550,"1,358",1.55,"6,548",3.09,N/A
981,동일제강,"3,650",500,548,"15,000",0.24,"559,076",182.50,0.23
982,한세엠케이,"4,190",500,541,"12,909",1.38,"38,571",-2.35,-25.79
983,KODEX IT,"20,535",0,534,"2,600",0.00,"2,510",N/A,N/A
984,HANARO 200선물레버리지,"29,400",0,529,"1,800",0.01,806,N/A,N/A
985,이화산업,"18,800","5,000",526,"2,800",0.29,"6,248",-19.77,-2.65
986,동원금속,"1,100",500,514,"46,755",1.29,"321,631",-2.43,31.69
987,체시스,"1,585",500,507,"32,000",1.36,"249,940",-5.83,-16.17
988,두산퓨얼셀2우B,"16,850",100,503,"2,986",0.12,"10,234",87.31,N/A
989,TIGER 200 건설,"3,005",0,502,"16,720",0.18,"233,663",N/A,N/A
990,KODEX 코스피대형주,"14,775",0,502,"3,400",0.00,136,N/A,N/A
991,TIGER 200IT레버리지,"66,900",0,502,750,0.00,"4,420",N/A,N/A
992,KODEX 탄소효율그린뉴딜,"9,995",0,500,"5,000",0.00,"5,054",N/A,N/A
993,대신 WTI원유 선물 ETN(H),"6,230",0,498,"8,000",0.00,547,N/A,N/A
994,진양화학,"4,125",500,495,"12,000",1.73,"64,807",59.78,3.05
995,TIGER 미국채10년선물,"11,395",0,490,"4,300",0.01,"18,264",N/A,N/A
996,KOSEF 단기자금,"101,105",0,489,484,0.00,"987,069",N/A,N/A
997,한성기업,"7,770","5,000",482,"6,210",2.65,"17,083",21.29,4.52
998,유화증권우,"2,760","1,000",482,"17,476",0.00,"2,229",39.43,N/A
999,엔케이물산,603,100,479,"79,439",4.48,"431,427",7.01,7.04
1000,TRUE 레버리지 천연가스 선물 ETN(H),"4,790",0,479,"10,000",0.00,"38,563",N/A,N/A
1001,하이트론,"6,560","2,500",474,"7,222",3.29,"620,897",-1.70,-136.89
1002,갤럭시아에스엠,"1,715",500,472,"27,550",2.82,"313,585",47.64,4.63
1003,KODEX 미국러셀2000(H),"14,700",0,470,"3,200",0.00,"2,766",N/A,N/A
1004,경인전자,"29,700","5,000",467,"1,571",14.48,"2,189",34.53,2.49
1005,미래에셋 미국 항공우주 ETN(H),"23,015",0,460,"2,000",0.00,20,N/A,N/A
1006,KOSEF 통안채1년,"101,305",0,456,450,0.00,"19,773",N/A,N/A
1007,QV 레버리지 S&P500 ETN,"22,660",0,453,"2,000",0.00,4,N/A,N/A
1008,TIGER 글로벌클라우드컴퓨팅INDXX,"10,485",0,453,"4,320",1.83,"16,939",N/A,N/A
1009,한솔PNS,"2,210",500,453,"20,493",1.42,"362,154",15.35,6.97
1010,HANARO e커머스,"17,735",0,452,"2,550",0.00,"39,353",N/A,N/A
1011,에이리츠,"10,650","5,000",449,"4,217",0.83,"116,151",6.72,19.50
1012,성안,787,500,447,"56,858",0.14,0,-2.05,-36.36
1013,KBSTAR 중장기국공채액티브,"103,540",0,437,422,0.00,144,N/A,N/A
1014,솔루스첨단소재2우B,"26,400",100,435,"1,646",0.12,"3,041",-94.62,N/A
1015,대한항공우,"38,900","5,000",432,"1,111",2.53,"4,661",-32.83,N/A
1016,LG하우시스우,"41,600","5,000",429,"1,032",11.79,"10,451",-5.39,N/A
1017,성문전자,"2,165",500,422,"19,487",4.25,"117,543",-45.10,-3.63
1018,신한 인버스 2X 천연가스 선물 ETN,"8,425",0,421,"5,000",0.00,"7,943",N/A,N/A
1019,KODEX 미국나스닥100선물(H),"17,455",0,419,"2,400",0.00,"13,152",N/A,N/A
1020,KINDEX 국고채3년,"106,970",0,417,390,0.00,11,N/A,N/A
1021,TIGER KRX인터넷K-뉴딜,"10,885",0,414,"3,800",0.01,"11,261",N/A,N/A
1022,KODEX 미국S&P500TR,"10,300",0,412,"4,000",0.00,"90,836",N/A,N/A
1023,삼성 미국 대형 성장주 ETN(H),"20,480",0,410,"2,000",0.00,12,N/A,N/A
1024,동원수산,"8,790","5,000",409,"4,654",4.03,"28,232",-12.67,-6.53
1025,TIGER 200 에너지화학,"20,805",0,408,"1,960",0.03,"6,370",N/A,N/A
1026,신한 다우존스지수 선물 ETN(H),"20,360",0,407,"2,000",0.00,15,N/A,N/A
1027,KODEX 미국나스닥100TR,"10,140",0,406,"4,000",0.00,"90,420",N/A,N/A
1028,KODEX 코스피TR,"14,460",0,405,"2,800",0.00,624,N/A,N/A
1029,TBH글로벌,"1,920",500,400,"20,857",1.04,"61,575",-1.30,-33.15
1030,삼성 미국 대형 성장주 ETN,"20,000",0,400,"2,000",0.00,5,N/A,N/A
1031,삼화전자,"3,795","1,000",397,"10,458",6.94,"27,332",-18.98,-19.35
1032,바다로19호,"2,605","5,000",396,"15,200",0.00,"6,347",-14.63,-6.51
1033,TRUE 코스피 양매도 ATM ETN,"7,890",0,394,"5,000",0.00,0,N/A,N/A
1034,삼성 인버스 2X 나스닥 100 ETN(H),"7,890",0,394,"5,000",0.00,"7,118",N/A,N/A
1035,신한 구리 선물 ETN(H),"19,705",0,394,"2,000",0.00,451,N/A,N/A
1036,TRUE 코스피 양매도 3% OTM ETN,"7,840",0,392,"5,000",0.00,0,N/A,N/A
1037,KODEX TRF3070,"11,075",0,388,"3,500",0.00,"7,460",N/A,N/A
1038,미래에셋 중국 심천 100 ETN,"19,220",0,384,"2,000",0.00,102,N/A,N/A
1039,SMART KRX300,"19,200",0,384,"2,000",0.01,"1,536",N/A,N/A
1040,신화실업,"31,450","5,000",382,"1,215",3.60,"7,500",78.04,1.42
1041,삼성 China A50 선물 ETN(H),"19,035",0,381,"2,000",0.00,0,N/A,N/A
1042,삼성중공우,"331,000","5,000",380,115,2.69,826,-140.67,N/A
1043,TIGER 농산물선물Enhanced(H),"6,635",0,378,"5,700",1.78,"30,059",N/A,N/A
1044,KODEX 철강,"10,145",0,376,"3,710",0.00,"228,843",N/A,N/A
1045,코아스,"1,205",500,372,"30,907",4.23,"167,570",-22.31,-6.81
1046,신한 S&P500 VIX S/T 선물 ETN C,"14,800",0,370,"2,500",0.00,"12,460",N/A,N/A
1047,씨아이테크,"1,470",500,369,"25,071",3.23,"503,627",-7.17,-14.34
1048,TIGER 200 중공업,"3,415",0,366,"10,720",0.00,"886,945",N/A,N/A
1049,진양폴리,"3,625",500,362,"10,000",2.15,"79,189",22.52,6.03
1050,TIGER 미디어컨텐츠,"6,630",0,362,"5,460",0.16,"30,938",N/A,N/A
1051,TIGER 200 금융,"6,885",0,357,"5,180",0.01,"27,284",N/A,N/A
1052,TIGER KIS부동산인프라채권TR,"5,510",0,355,"6,450",0.00,"1,572",N/A,N/A
1053,미래에셋 에너지화학 Core5 ETN,"17,630",0,353,"2,000",0.00,0,N/A,N/A
1054,티와이홀딩스우,"27,850",500,350,"1,255",0.90,"43,292",1.05,N/A
1055,KBSTAR 200선물인버스2X,"2,050",0,348,"17,000",0.14,"336,702",N/A,N/A
1056,TIGER KRX게임K-뉴딜,"10,380",0,348,"3,350",0.00,"15,474",N/A,N/A
1057,KODEX 중국본토 A50,"23,090",0,346,"1,500",0.00,959,N/A,N/A
1058,KODEX 200ESG,"14,990",0,345,"2,300",0.00,685,N/A,N/A
1059,BYC우,"160,000","5,000",345,215,0.22,9,7.35,N/A
1060,금호전기,"2,770",500,344,"12,433",1.93,"27,830",-1.28,-100.98
1061,KINDEX KIS종합채권(AA-이상)액티브,"97,990",0,343,350,0.00,464,N/A,N/A
1062,태원물산,"4,510",500,343,"7,600",3.55,"37,496","-1,127.50",-0.08
1063,HANARO 코스닥150,"13,355",0,339,"2,540",0.00,"2,838",N/A,N/A
1064,미래에셋 미디어엔터 Core5 ETN,"16,920",0,338,"2,000",0.00,0,N/A,N/A
1065,센트럴인사이트,"2,490",500,338,"13,590",2.15,0,-3.74,-53.41
1066,KOSEF 국고채3년,"112,555",0,338,300,0.00,116,N/A,N/A
1067,신한 레버리지 S&P500 선물 ETN,"16,805",0,336,"2,000",0.00,479,N/A,N/A
1068,KODEX MSCI KOREA ESG유니버설,"12,620",0,328,"2,600",0.00,249,N/A,N/A
1069,KODEX 미국달러선물레버리지,"9,130",0,328,"3,590",0.00,"45,497",N/A,N/A
1070,TIGER KRX300,"19,230",0,327,"1,700",0.00,11,N/A,N/A
1071,베트남개발1,237,0,326,"137,680",0.03,"106,340",N/A,N/A
1072,남양유업우,"195,000","5,000",325,167,74.55,"6,093",-3.23,N/A
1073,ARIRANG 미국S&P500(H),"17,050",0,324,"1,900",0.02,"9,546",N/A,N/A
1074,부산주공,568,500,323,"56,850",4.02,"308,953",-1.83,-47.39
1075,삼성 인버스 2X WTI원유 선물 ETN,645,0,322,"50,000",0.00,"1,232,011",N/A,N/A
1076,신한 브렌트원유 선물 ETN(H),"8,005",0,320,"4,000",0.00,166,N/A,N/A
1077,KODEX China H,"21,315",0,320,"1,500",53.33,221,N/A,N/A
1078,신한 레버리지 금 선물 ETN,"15,940",0,319,"2,000",0.00,"4,893",N/A,N/A
1079,유유제약1우,"14,050","1,000",318,"2,267",0.57,"134,476",171.34,N/A
1080,세방우,"8,630",500,318,"3,689",13.42,"6,419",6.10,N/A
1081,미래에셋 원자재 선물 ETN(H),"10,600",0,318,"3,000",0.00,452,N/A,N/A
1082,삼성 미국 대형 가치주 ETN(H),"15,860",0,317,"2,000",0.00,789,N/A,N/A
1083,한국주강,"2,775",500,314,"11,309",2.74,"430,047",-23.52,-4.28
1084,KODEX 장기종합채권(AA-이상)액티브KAP,"95,375",0,312,327,0.00,0,N/A,N/A
1085,KINDEX S&P아시아TOP50,"15,965",0,311,"1,950",0.00,"6,128",N/A,N/A
1086,에이엔피,"1,415",500,309,"21,826",0.00,"107,115",-0.77,-50.96
1087,TIGER 레버리지,"25,460",0,306,"1,200",0.24,"42,507",N/A,N/A
1088,KBSTAR 국고채3년,"113,130",0,305,270,0.00,8,N/A,N/A
1089,삼성 미국 대형 가치주 ETN,"15,245",0,305,"2,000",0.00,0,N/A,N/A
1090,삼성 레버리지 금 선물 ETN(H),"30,415",0,304,"1,000",0.00,"1,976",N/A,N/A
1091,신한 인버스 천연가스 선물 ETN(H),"15,185",0,304,"2,000",0.00,726,N/A,N/A
1092,흥아해운,258,500,301,"116,733",23.04,0,-0.82,-379.56
1093,QV S&P500 VIX S/T 선물 ETN C,"15,050",0,301,"2,000",0.00,0,N/A,N/A
1094,TIGER 미국나스닥바이오,"20,000",0,300,"1,500",0.01,"1,973",N/A,N/A
1095,KOSEF 미국달러선물,"11,810",0,300,"2,540",0.08,"4,709",N/A,N/A
1096,신한 K200 USD 선물 바이셀 ETN,"14,925",0,298,"2,000",0.00,82,N/A,N/A
1097,신한 은 선물 ETN(H),"14,825",0,296,"2,000",0.00,110,N/A,N/A
1098,미래에셋 KRX금현물 Auto-KO-C 2312-01 ETN,"9,875",0,296,"3,000",0.00,"4,105",N/A,N/A
1099,TIGER 차이나CSI300인버스(합성),"7,765",0,295,"3,800",0.00,430,N/A,N/A
1100,KODEX 고배당,"9,775",0,293,"3,000",0.01,"49,334",N/A,N/A
1101,모두투어리츠,"3,745","5,000",293,"7,827",0.47,"10,840",24.64,2.72
1102,KODEX 에너지화학,"19,930",0,293,"1,470",0.01,"10,542",N/A,N/A
1103,하이골드12호,"2,240","5,000",292,"13,044",0.00,"26,151",-22.40,-4.41
1104,KODEX 미국S&P고배당커버드콜(합성 H),"10,380",0,291,"2,800",0.01,"7,361",N/A,N/A
1105,대상우,"21,150","1,000",290,"1,370",12.46,"18,083",6.09,N/A
1106,ARIRANG 코스피,"31,645",0,285,900,0.00,34,N/A,N/A
1107,KINDEX 코스닥150,"13,335",0,280,"2,100",2.30,"2,210",N/A,N/A
1108,KOSEF 인도Nifty50(합성),"15,090",0,279,"1,850",0.04,"11,766",N/A,N/A
1109,대덕전자1우,"13,300",500,279,"2,096",1.14,"94,347",-52.57,N/A
1110,파워 200,"42,840",0,278,650,0.00,18,N/A,N/A
1111,KODEX 필수소비재,"9,850",0,276,"2,800",0.00,"4,335",N/A,N/A
1112,신한 금 선물 ETN(H),"13,705",0,274,"2,000",0.00,949,N/A,N/A
1113,KBSTAR 글로벌4차산업IT(합성 H),"21,665",0,271,"1,250",0.01,"13,354",N/A,N/A
1114,KBSTAR 200선물레버리지,"24,470",0,269,"1,100",0.80,"4,996",N/A,N/A
1115,KODEX China H 레버리지(H),"6,835",0,267,"3,900",0.00,"18,626",N/A,N/A
1116,하이골드3호,"1,640","5,000",265,"16,150",0.00,"2,291",-3.76,-30.21
1117,코오롱우,"24,600","5,000",265,"1,076",6.18,"352,588",2.26,N/A
1118,TIGER 코스닥150선물인버스,"4,980",0,259,"5,200",0.69,"624,744",N/A,N/A
1119,KBSTAR 고배당,"12,580",0,258,"2,050",0.00,"27,575",N/A,N/A
1120,KINDEX 인도네시아MSCI(합성),"8,050",0,258,"3,200",0.00,904,N/A,N/A
1121,KOSEF 200선물레버리지,"24,150",0,256,"1,060",0.03,30,N/A,N/A
1122,KODEX 배당성장,"15,415",0,254,"1,650",0.14,"2,895",N/A,N/A
1123,ARIRANG 미국장기우량회사채,"93,730",0,253,270,0.00,329,N/A,N/A
1124,하이트진로2우B,"22,350","5,000",253,"1,130",3.15,"12,751",18.38,N/A
1125,ARIRANG 미국나스닥기술주,"21,030",0,252,"1,200",0.01,"3,668",N/A,N/A
1126,대한제당우,"7,770",500,252,"3,241",1.88,"6,249,673",33.06,N/A
1127,세기상사,"6,160",500,251,"4,076",0.95,0,-16.34,-7.13
1128,QV 레버리지 WTI원유 선물 ETN(H),620,0,248,"40,000",0.00,"197,750",N/A,N/A
1129,TIGER 골드선물(H),"12,980",0,247,"1,900",0.01,"13,124",N/A,N/A
1130,삼성 Cushing 에너지인프라 MLP ETN,"8,220",0,247,"3,000",0.00,0,N/A,N/A
1131,KODEX 200가치저변동,"11,165",0,246,"2,200",0.00,"6,438",N/A,N/A
1132,HANARO 고배당,"10,220",0,245,"2,400",0.00,"1,438",N/A,N/A
1133,KBSTAR 200선물인버스,"5,000",0,245,"4,900",0.61,"1,649",N/A,N/A
1134,ARIRANG 미국다우존스고배당주(합성 H),"15,810",0,242,"1,530",0.00,"35,108",N/A,N/A
1135,미래에셋 Q150 Core5 ETN,"12,085",0,242,"2,000",0.00,"13,371",N/A,N/A
1136,KODEX 바이오,"13,730",0,242,"1,760",0.47,"30,266",N/A,N/A
1137,신한 콩 선물 ETN(H),"12,055",0,241,"2,000",0.00,221,N/A,N/A
1138,미래에셋 글로벌 리츠 ETN(H),"11,995",0,240,"2,000",0.00,12,N/A,N/A
1139,KINDEX 골드선물 레버리지(합성 H),"17,120",0,240,"1,400",0.09,"17,334",N/A,N/A
1140,미래에셋 미국 리츠 ETN(H),"11,980",0,240,"2,000",0.00,100,N/A,N/A
1141,TIGER 화장품,"3,810",0,239,"6,270",0.10,"127,162",N/A,N/A
1142,FOCUS ESG리더스,"11,345",0,238,"2,100",0.00,68,N/A,N/A
1143,삼양홀딩스우,"77,900","5,000",237,304,2.10,"3,438",6.75,N/A
1144,ARIRANG 단기채권액티브,"106,055",0,234,221,0.00,0,N/A,N/A
1145,삼성 레버리지 나스닥 100 ETN(H),"11,705",0,234,"2,000",0.00,"13,671",N/A,N/A
1146,HANARO Fn5G산업,"12,310",0,234,"1,900",0.00,"3,870",N/A,N/A
1147,KODEX 헬스케어,"17,970",0,234,"1,300",0.05,"9,171",N/A,N/A
1148,신한 레버리지 구리 선물 ETN,"23,355",0,234,"1,000",0.00,"2,823",N/A,N/A
1149,KBSTAR KRX300,"19,315",0,232,"1,200",0.00,12,N/A,N/A
1150,크라운제과우,"29,550",200,229,774,0.08,"241,257",24.24,N/A
1151,삼성 KRX 금현물 ETN,"11,420",0,228,"2,000",0.00,"1,372",N/A,N/A
1152,삼성 Alerian 에너지인프라 MLP ETN,"7,555",0,227,"3,000",0.00,496,N/A,N/A
1153,넥센타이어1우B,"3,455",500,225,"6,500",6.50,"7,443",-21.46,N/A
1154,한화우,"46,650","5,000",224,479,0.69,"8,363",21.36,N/A
1155,삼성 레버리지 구리 선물 ETN(H),"22,120",0,221,"1,000",0.00,"14,785",N/A,N/A
1156,현대건설우,"223,000","5,000",220,99,6.08,"2,288",203.10,N/A
1157,KODEX Fn K-뉴딜디지털플러스,"12,170",0,219,"1,800",0.06,"2,081",N/A,N/A
1158,ARIRANG 미국단기우량회사채,"95,160",0,219,230,0.00,37,N/A,N/A
1159,KODEX 글로벌4차산업로보틱스(합성),"17,090",0,217,"1,270",0.00,"2,239",N/A,N/A
1160,KODEX 배당성장채권혼합,"12,010",0,216,"1,800",0.00,"1,846",N/A,N/A
1161,KOSEF 코스닥150,"6,710",0,215,"3,200",0.00,701,N/A,N/A
1162,한진칼우,"40,000","2,500",215,537,1.60,"2,150",-8.94,N/A
1163,KOSEF Fn중소형,"25,525",0,214,840,0.00,"2,300",N/A,N/A
1164,삼성 코스피 풋매도 4% OTM ETN,"10,705",0,214,"2,000",0.00,0,N/A,N/A
1165,신한 레버리지 미국달러 선물 ETN,"10,690",0,214,"2,000",0.00,11,N/A,N/A
1166,FOCUS KRX300,"19,370",0,213,"1,100",0.00,0,N/A,N/A
1167,QV iSelect 글로벌 EMP ETN(H),"10,535",0,211,"2,000",0.00,1,N/A,N/A
1168,TIGER 삼성그룹펀더멘털,"12,210",0,210,"1,720",0.00,"11,636",N/A,N/A
