N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
632,삼일씨엔에스,"13,800","1,000","1,757","12,732",0.65,"90,932",-170.37,-0.37
633,금강공업,"6,010","1,000","1,753","29,175",2.25,"156,572",-103.62,-0.55
634,KOSEF 국고채10년,"119,890",0,"1,750","1,460",0.00,"2,354",N/A,N/A
635,KBSTAR 코스피,"31,325",0,"1,739","5,550",0.00,472,N/A,N/A
636,HDC아이콘트롤스,"10,550",500,"1,737","16,460",3.60,"34,251",11.08,9.42
637,TIGER 미국필라델피아반도체나스닥,"9,285",0,"1,736","18,700",0.41,"604,770",N/A,N/A
638,한화투자증권우,"36,100","5,000","1,733","4,800",0.19,"5,062,516",117.97,N/A
639,ARIRANG 코스피TR,"15,620",0,"1,726","11,050",0.01,12,N/A,N/A
640,디아이씨,"4,430",500,"1,723","38,889",0.78,"969,534",-1.41,-128.28
641,사조대림,"18,700","5,000","1,714","9,164",1.34,"13,660",5.07,10.02
642,오리엔트바이오,"1,445",500,"1,713","118,574",2.25,"463,346",-19.53,-18.64
643,미원화학,"77,900","1,000","1,713","2,199",5.19,669,12.44,12.81
644,크라운제과,"13,650",200,"1,710","12,524",1.29,"132,908",11.20,11.00
645,SG글로벌,"3,800",500,"1,709","44,964",1.69,"422,534",-74.51,-1.79
646,SK케미칼우,"116,500","5,000","1,699","1,459",5.77,"7,119",6.05,N/A
647,진양홀딩스,"3,005",500,"1,680","55,895",3.13,"80,002",6.45,8.23
648,동아타이어,"12,200",500,"1,675","13,733",3.56,"53,189",12.56,3.69
649,HANARO 200TR,"49,910",0,"1,672","3,350",0.00,"2,091",N/A,N/A
650,화신,"4,770",500,"1,666","34,920",1.79,"119,331",-3.07,-19.53
651,TIGER 차이나항셍테크,"10,305",0,"1,659","16,100",0.05,"49,099",N/A,N/A
652,한솔홈데코,"2,050","1,000","1,652","80,565",2.29,"1,737,743",292.86,0.38
653,KBSTAR IT플러스,"21,055",0,"1,646","7,820",0.01,"12,154",N/A,N/A
654,이엔플러스,"3,485",500,"1,636","46,937",1.03,"422,592",-9.63,-27.80
655,일진디스플,"4,730",500,"1,630","34,468",3.91,"108,835",-3.91,-94.15
656,일동홀딩스,"14,100","1,000","1,627","11,540",2.22,"6,891",-8.48,-14.74
657,세이브존I&C,"3,925","1,000","1,611","41,041",9.69,"129,982",16.29,2.20
658,화성산업,"12,900","5,000","1,606","12,451",11.15,"37,329",4.84,N/A
659,TIGER 중국소비테마,"8,260",0,"1,606","19,440",0.00,"32,653",N/A,N/A
660,CJ씨푸드,"4,465",500,"1,604","35,931",0.00,"151,451",76.98,3.23
